timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1747679430.536369,0.020195737,0.17803976,0.8061821,0.1482048,-0.035553172,-0.25752747
1747679430.53702,0.020195737,0.17803976,0.8061821,0.1482048,-0.035553172,-0.25752747
1747679430.5375826,0.020195737,0.17803976,0.8061821,0.1482048,-0.035553172,-0.25752747
1747679430.5382674,0.020195737,0.17803976,0.8061821,0.1482048,-0.035553172,-0.25752747
1747679430.538818,0.020195737,0.17803976,0.8061821,0.1482048,-0.035553172,-0.25752747
1747679430.539367,0.020195737,0.17803976,0.8061821,0.1482048,-0.035553172,-0.25752747
1747679430.5399168,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.5404596,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.5410078,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.541552,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.5420954,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.5426416,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.5431857,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.5437346,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.544283,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.5448272,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.5453715,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.5460267,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.547151,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.548991,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.5495589,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.5503435,-0.013484163,0.17999221,0.7793358,-0.0105194785,-0.016378429,-0.19680746
1747679430.5513995,-0.040818576,0.16534878,0.83693326,-0.0105194785,-0.016378429,-0.19680746
1747679430.5526242,-0.040818576,0.16534878,0.83693326,-0.1532648,-0.00785632,-0.12117374
1747679430.5534961,-0.040818576,0.16534878,0.83693326,-0.1532648,-0.00785632,-0.12117374
1747679430.554315,-0.040818576,0.16534878,0.83693326,-0.1532648,-0.00785632,-0.12117374
1747679430.554916,-0.040818576,0.16534878,0.83693326,-0.1532648,-0.00785632,-0.12117374
1747679430.5556142,-0.040818576,0.16534878,0.83693326,-0.1532648,-0.00785632,-0.12117374
1747679430.5847056,0.10366331,0.13752626,1.2049717,-0.07337003,-0.08775109,0.023702117
1747679430.5853286,0.10366331,0.13752626,1.2049717,-0.07337003,-0.08775109,0.023702117
1747679430.586232,0.10366331,0.13752626,1.2049717,-0.07337003,-0.08775109,0.023702117
1747679430.5870001,0.10366331,0.13752626,1.2049717,-0.07337003,-0.08775109,0.023702117
1747679430.5875938,0.10366331,0.13752626,1.2049717,-0.07337003,-0.08775109,0.023702117
