timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1747679542.294862,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.2954006,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.295925,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.2964432,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.2969618,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.2974854,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.2980406,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.298593,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.2991257,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.2996461,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.3001647,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.300683,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.3012009,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.301745,-0.14771566,0.70959646,0.6617002,0.10026794,-0.4275702,-0.29907277
1747679542.3024602,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.303468,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.3040304,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.3045819,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.3051229,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.3056633,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.3062046,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.306745,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.3072865,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.3078265,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.3086958,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.309258,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.3098283,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.3103786,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.310915,-0.3824987,0.70227474,0.7051424,0.10879005,-0.7854988,-0.22237378
1747679542.311451,-0.41032124,0.682262,0.7749428,0.1514006,-0.8984167,0.042876862
1747679542.311984,-0.41032124,0.682262,0.7749428,0.1514006,-0.8984167,0.042876862
1747679542.312515,-0.41032124,0.682262,0.7749428,0.1514006,-0.8984167,0.042876862
1747679542.3130457,-0.41032124,0.682262,0.7749428,0.1514006,-0.8984167,0.042876862
1747679542.3141959,-0.41032124,0.682262,0.7749428,0.1514006,-0.8984167,0.042876862
1747679542.3147428,-0.41032124,0.682262,0.7749428,0.1514006,-0.8984167,0.042876862
1747679542.3152907,-0.41032124,0.682262,0.7749428,0.1514006,-0.8984167,0.042876862
1747679542.3158429,-0.41032124,0.682262,0.7749428,0.1514006,-0.8984167,0.042876862
1747679542.3165615,-0.41032124,0.682262,0.7749428,0.1514006,-0.8984167,0.042876862
1747679542.3188536,-0.2975668,0.6729879,0.85060054,0.21531641,-0.9165262,0.2761696
1747679542.3221426,-0.2975668,0.6729879,0.85060054,0.21531641,-0.9165262,0.2761696
1747679542.3459954,0.19786942,0.71935874,0.7876338,0.22383852,0.0017310535,0.22397168
1747679542.347318,0.19786942,0.71935874,0.7876338,0.22383852,0.0017310535,0.22397168
1747679542.3503094,0.28231323,0.7730513,0.7466321,0.124769,0.50560075,-0.05086634
1747679542.3508694,0.28231323,0.7730513,0.7466321,0.124769,0.50560075,-0.05086634
