timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1747679352.202592,0.042649005,0.44015723,0.6543785,-0.3619233,0.00585895,-0.9243825
1747679352.2032566,0.042649005,0.44015723,0.6543785,-0.3619233,0.00585895,-0.9243825
1747679352.203809,0.042649005,0.44015723,0.6543785,-0.3619233,0.00585895,-0.9243825
1747679352.2052298,0.042649005,0.44015723,0.6543785,-0.44075283,-0.5235771,-1.0618016
1747679352.2058368,0.042649005,0.44015723,0.6543785,-0.44075283,-0.5235771,-1.0618016
1747679352.2063885,0.042649005,0.44015723,0.6543785,-0.44075283,-0.5235771,-1.0618016
1747679352.206921,0.042649005,0.44015723,0.6543785,-0.44075283,-0.5235771,-1.0618016
1747679352.2074418,0.042649005,0.44015723,0.6543785,-0.44075283,-0.5235771,-1.0618016
1747679352.207961,0.042649005,0.44015723,0.6543785,-0.44075283,-0.5235771,-1.0618016
1747679352.2084858,0.042649005,0.44015723,0.6543785,-0.58882445,-0.84315616,-0.97231936
1747679352.2090073,0.042649005,0.44015723,0.6543785,-0.58882445,-0.84315616,-0.97231936
1747679352.2095299,-0.004209988,0.40257242,0.6758555,-0.58882445,-0.84315616,-0.97231936
1747679352.2100503,-0.004209988,0.40257242,0.6758555,-0.58882445,-0.84315616,-0.97231936
1747679352.2105696,-0.004209988,0.40257242,0.6758555,-0.58882445,-0.84315616,-0.97231936
1747679352.2110887,-0.004209988,0.40257242,0.6758555,-0.58882445,-0.84315616,-0.97231936
1747679352.2116096,-0.004209988,0.40257242,0.6758555,-0.58882445,-0.84315616,-0.97231936
1747679352.212135,-0.004209988,0.40257242,0.6758555,-0.6932203,-0.84315616,-0.91479516
1747679352.212661,0.092436686,0.3874409,0.7275957,-0.6932203,-0.84315616,-0.91479516
1747679352.2131822,0.092436686,0.3874409,0.7275957,-0.6932203,-0.84315616,-0.91479516
1747679352.213701,0.092436686,0.3874409,0.7275957,-0.6932203,-0.84315616,-0.91479516
1747679352.2142248,0.092436686,0.3874409,0.7275957,-0.6932203,-0.84315616,-0.91479516
1747679352.2147536,0.092436686,0.3874409,0.7275957,-0.6932203,-0.84315616,-0.91479516
1747679352.2152755,0.092436686,0.3874409,0.7275957,-0.6932203,-0.84315616,-0.91479516
1747679352.215794,0.092436686,0.3874409,0.7275957,-0.6932203,-0.84315616,-0.91479516
1747679352.2163134,0.092436686,0.3874409,0.7275957,-0.6932203,-0.84315616,-0.91479516
1747679352.2168348,0.092436686,0.3874409,0.7275957,-0.6932203,-0.84315616,-0.91479516
