timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1747679482.5619652,-0.047164064,0.72814476,0.57188714,0.0896153,0.27230802,-0.46099284
1747679482.56251,-0.047164064,0.72814476,0.57188714,0.0896153,0.27230802,-0.46099284
1747679482.5630517,-0.047164064,0.72814476,0.57188714,0.0896153,0.27230802,-0.46099284
1747679482.5636096,-0.047164064,0.72814476,0.57188714,0.0896153,0.27230802,-0.46099284
1747679482.5641832,-0.071569785,0.75206244,0.5933642,0.0896153,0.27230802,-0.46099284
1747679482.5647314,-0.071569785,0.75206244,0.5933642,0.0896153,0.27230802,-0.46099284
1747679482.5653796,-0.071569785,0.75206244,0.5933642,0.0896153,0.27230802,-0.46099284
1747679482.5659428,-0.071569785,0.75206244,0.5933642,0.0896153,0.27230802,-0.46099284
1747679482.5665188,-0.071569785,0.75206244,0.5933642,0.0896153,0.27230802,-0.46099284
1747679482.5670848,-0.071569785,0.75206244,0.5933642,0.0896153,0.27230802,-0.46099284
1747679482.5676434,-0.071569785,0.75206244,0.5933642,0.0896153,0.27230802,-0.46099284
1747679482.5681853,-0.071569785,0.75206244,0.5933642,0.0896153,0.27230802,-0.46099284
1747679482.5687137,-0.071569785,0.75206244,0.5933642,0.0896153,0.27230802,-0.46099284
1747679482.5692415,-0.071569785,0.75206244,0.5933642,0.0896153,0.27230802,-0.46099284
1747679482.5697756,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5703049,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5708318,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5713606,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5718904,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5724,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5729227,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5734448,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5739868,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.574538,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5750666,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5755913,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5761142,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.576637,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5771592,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5776818,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.578204,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5787497,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5793135,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5798645,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5804317,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5811684,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5817144,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
1747679482.5822515,-0.0989042,0.74522877,0.61972237,0.028895276,0.051798444,-0.4567318
