timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1747679419.0522358,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0529764,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0535302,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0540836,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0546205,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0551455,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0556679,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0561898,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0567117,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0572352,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.057757,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0582786,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0588005,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.059322,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0598435,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.060366,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.0608938,-0.17309761,0.55779284,0.87451816,0.4177165,0.08269109,-0.23728748
1747679419.061423,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0619462,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0624683,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0629902,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0635252,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0640821,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.064649,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0652645,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0658422,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0663936,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0669303,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0674536,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.067976,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0684977,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.069019,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0695403,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0700638,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0705853,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.071107,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0716488,-0.16528776,0.5612097,0.80178905,0.35699648,-0.045140546,-0.25859275
1747679419.0721986,-0.1296554,0.5695076,0.7383342,0.35699648,-0.045140546,-0.25859275
1747679419.0727522,-0.1296554,0.5695076,0.7383342,0.35699648,-0.045140546,-0.25859275
1747679419.073284,-0.1296554,0.5695076,0.7383342,0.08855004,-0.038748965,-0.2543317
1747679419.073833,-0.1296554,0.5695076,0.7383342,0.08855004,-0.038748965,-0.2543317
